"","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","Yr Built","LSqft/Ac","DAM/CDAM","V","PP","BAC","Contract Status Change Date","MLS"
"1","PV23176139","S","SFR/D","14","Barkentine RD  ","RPV","169","TRUS","$1,900,000","$1,004.76","3/2,0,1,0","1891/A","1952/ASR","10,622/0.2438","12/12","Y","Y","2.5%","10/24/23","CRMLSM"
"1","PV25002970","S","SFR/A","6527","Sandy Point CT  ","RPV","169","STD,TRUS","$1,900,000","$625.82","4/3,0,1,0","3036/A","1987/ASR","4,450/0.1022","211/211","Y","N","","09/03/25","CRMLSM"
"1","PV24221563","S","SFR/A","6504","Sandy Point CT  ","RPV","169","STD","$1,940,000","$784.16","3/3,0,0,0","2474/A","1988/ASR","4,434/0.1018","38/38","Y","N","","01/22/25","CRMLSM"
"1","SB23093368","S","SFR/D","6524","Via Baron   ","RPV","169","STD","$1,950,000","$548.37","4/3,0,1,0","3556/A","1984/ASR","4,909/0.1127","76/76","Y","N","2%","11/02/23","CRMLSM"
"1","PW23075923","S","SFR/D","4235","Admirable DR  ","RPV","169","STD","$1,990,000","$871.66","3/2,0,1,0","2283/A","1956/ASR","10,152/0.2331","23/23","Y","N","2.5%","07/21/23","CRMLSM"
"1","25483439","S","SFR","4212","Admirable DR  ","RPV","169","STD","$2,000,000","$741.02","4/4,0,0,0","2699/","1956","10,230/0.2348","26/26","Y","N","","02/19/25","CLAW"
"1","OC25002157","S","SFR/A","6518","Sandy Point CT  ","RPV","169","STD","$2,000,000","$808.41","3/3,0,0,0","2474/A","1987/ASR","4,415/0.1014","25/198","Y","N","","02/14/25","CRMLSM"
"1","PV24228000","S","SFR/D","6327","Tarragon RD  ","RPV","169","STD","$2,000,000","$474.16","5/3,0,1,0","4218/T","1977/ASR","26,933/0.6183","18/18","Y","Y","","01/21/25","CRMLSM"
"1","PV24211811","S","SFR/D","10","Packet RD  ","RPV","169","STD","$2,010,000","$1,068.01","3/2,0,0,0","1882/S","1956/ASR","9,024/0.2072","11/11","Y","N","","11/21/24","CRMLSM"
"1","SB25083114","S","SFR/D","6606","Channelview CT  ","RPV","169","STD","$2,198,000","$834.16","4/1,2,0,0","2635/AP","1990/SEE","4,405/0.1011","7/7","Y","N","","05/13/25","CRMLSM"
"1","PV24094557","S","SFR/A","6519","Sandy Point CT  ","RPV","169","STD","$2,199,000","$724.31","4/1,2,1,0","3036/A","1987/ASR","4,408/0.1012","11/112","Y","N","2.5%","06/20/24","CRMLSM"
"1","SB24077903","S","SFR/D","108","Spindrift DR  ","RPV","169","STD","$2,199,000","$1,317.56","3/2,1,0,0","1669/A","1953/PUB","3,128/0.0718","13/13","Y","N","2.5%","06/07/24","CRMLSM"
"1","PV25032069","S","SFR/D","3951","Palos Verdes Drive South   ","RPV","169","STD","$2,220,000","$706.56","4/1,2,1,0","3142/A","1959/ASR","10,266/0.2357","48/48","Y","N","","05/21/25","CRMLSM"
"1","PV25149395","S","SFR/D","4005","Admirable DR  ","RPV","169","STD","$2,237,000","$667.76","4/4,0,0,0","3350/A","1959/ASR","10,320/0.2369","127/127","Y","N","","02/18/26","CRMLSM"
"1","SB23113287","S","SFR/D","6521","Via Baron   ","RPV","169","STD","$2,250,000","$578.41","4/5,0,0,0","3890/A","1984/ASR","4,881/0.1121","7/7","Y","N","2.5%","08/04/23","CRMLSM"
"1","SB24111924","S","SFR/D","6614","Channelview CT  ","RPV","169","TRUS","$2,260,000","$833.33","3/3,0,1,0","2712/A","1990/ASR","4,368/0.1003","11/11","Y","N","2.5%","07/15/24","CRMLSM"
"1","PV23106994","S","SFR/D","32202","Avenger PL  ","RPV","169","STD","$2,262,000","$1,216.13","3/2,1,0,0","1860/S","1960/ASR","17,776/0.4081","43/43","Y","Y","2.5%","09/01/23","CRMLSM"
"1","PV24186443","S","SFR/D","32210","Phantom DR  ","RPV","169","STD","$2,285,000","$834.25","4/3,0,1,0","2739/A","1965/ASR","12,078/0.2773","95/95","Y","Y","","02/11/25","CRMLSM"
"1","SB24146338","S","SFR/D","6504","Via Baron   ","RPV","169","STD,TRUS","$2,300,000","$495.16","4/4,1,0,0","4645/A","1984/ASR","4,747/0.109","6/6","Y","N","2%","08/27/24","CRMLSM"
"1","PV23113254","S","SFR/D","6630","Channelview CT  ","RPV","169","TRUS","$2,332,500","$860.07","3/3,0,1,0","2712/A","1990/ASR","4,411/0.1013","9/9","Y","N","2.5%","08/15/23","CRMLSM"
"1","PV25021877","S","SFR/D","6620","Channelview CT  ","RPV","169","STD","$2,337,000","$811.46","3/3,0,1,0","2880/AP","1990/ASR","4,469/0.1026","54/54","Y","N","","05/06/25","CRMLSM"
"1","P1-17203","S","SFR/D","19","Narcissa DR  ","RPV","169","STD","$2,338,000","$776.05","3/1,2,0,0","2898/T","1962/PUB","41,375/0.9498","41/41","Y","N","2.500%","05/21/24","CRMLSF"
"1","24377575","S","SFR","32443","Sea Raven DR  ","RPV","169","STD","$2,383,000","$1,160.18","3/2,0,0,0","2054/","1963","10,806/0.2481","41/41","Y","","2.500%","05/21/24","CLAW"
"1","PV24068881","S","SFR/D","32508","Seawolf Drive   ","RPV","169","STD","$2,395,000","$844.20","4/3,0,1,0","2837/P","2000/PUB","11,691/0.2684","22/22","Y","N","2.5%*","06/07/24","CRMLSM"
"1","PV26029103","S","SFR/D","32333","Phantom DR  ","RPV","169","STD","$2,400,000","$1,086.46","3/2,0,1,0","2209/A","1963/PUB","12,491/0.2868","9/9","Y","Y","","03/27/26","CRMLSM"
"1","PV25025926","S","SFR/D","6416","Vista Pacifica   ","RPV","169","STD","$2,450,000","$533.07","4/3,1,1,0","4596/A","1984/ASR","4,788/0.1099","5/5","Y","N","","03/21/25","CRMLSM"
"1","PV25099676","S","SFR/D","3212","Barkentine RD  ","RPV","169","STD","$2,500,000","$828.36","5/1,2,0,0","3018/A","1973/ASR","21,010/0.4823","140/175","Y","N","","10/17/25","CRMLSM"
"1","PV25092457","S","SFR/D","51","Nuvola CT  ","RPV","169","STD","$2,650,000","$643.83","4/3,0,1,0","4116/AP","1997/ASR","15,003/0.3444","97/97","Y","N","","09/08/25","CRMLSM"
"1","WS25226127","S","SFR/D","3664","Vigilance DR  ","RPV","169","STD","$2,720,000","$755.56","5/4,0,1,0","3600/A","1964/ASR","15,778/0.3622","100/100","Y","Y","","02/09/26","CRMLSM"
"1","PV23175817","S","SFR/D","3663","Vigilance DR  ","RPV","169","STD","$2,800,000","$957.26","4/3,0,0,0","2925/A","1965/ASR","15,759/0.3618","7/7","Y","Y","2.5%","11/16/23","CRMLSM"
"1","PV24159914","S","SFR/D","6116","Arrowroot   ","RPV","169","STD","$2,900,000","$1,329.06","2/3,0,0,0","2182/A","1956/ASR","33,564/0.7705","13/13","Y","Y","","10/22/24","CRMLSM"
"1","PV25251445","S","SFR/D","37","Tramonto DR  ","RPV","169","STD","$3,450,000","$812.91","5/2,2,1,0","4244/A","1997/PUB","14,028/0.322","43/43","Y","Y","","01/14/26","CRMLSM"
"1","PV24048455","S","SFR/D","51","Albero CT  ","RPV","169","STD","$4,150,000","$800.85","6/2,3,0,0","5182/A","1991/ASR","14,058/0.3227","32/32","Y","Y","2.5%","05/17/24","CRMLSM"
"1","PV24099429","S","SFR/D","32524","Seacliff DR  ","RPV","169","STD,TRUS","$4,375,000","$882.06","5/3,1,1,0","4960/A","1984/PUB","14,211/0.3262","65/65","Y","N","2.5%","08/16/24","CRMLSM"
"1","ND24054362","S","SFR/D","32","Seacove DR  ","RPV","169","STD","$5,387,500","$2,826.60","3/1,2,0,0","1906/P","1954/PUB","41,076/0.943","95/212","Y","Y","2.5%","07/22/24","CRMLSM"
"1","PV24079673","S","SFR/D","6410","Sea Cove DR  ","RPV","169","STD","$6,550,000","$862.98","4/4,0,1,0","7590/A","1989/ASR","33,824/0.7765","210/210","Y","Y","","06/12/25","CRMLSM"
"1","PV23153125","S","SFR/D","6580","Sea Cove DR  ","RPV","169","STD","$7,750,000","$1,018.13","6/6,0,1,0","7612/T","1989/ASR","35,823/0.8224","0/0","Y","Y","2.5%","08/16/23","CRMLSM"
"1","OC22021372","S","SFR/D","32033","Cape Point DR  ","RPV","169","STD","$11,275,000","$1,588.03","6/6,1,2,0","7100/A","2021/ASR","23,261/0.534","468/468","Y","Y","2%","12/08/23","CRMLSM"
"1","PV24192574","S","SFR/D","30816","Via Rivera   ","RPV","170","STD","$1,650,000","$686.64","4/2,0,0,0","2403/A","1960/ASR","10,383/0.2384","24/24","Y","N","","12/09/24","CRMLSM"
"1","OC24126814","S","SFR/D","30512","Via Rivera   ","RPV","170","STD,TRUS","$1,700,000","$711.30","4/2,0,1,0","2390/A","1969/ASR","10,543/0.242","13/13","Y","N","2%","08/09/24","CRMLSM"
"1","SB24104077","S","SFR/D","30433","Via Rivera   ","RPV","170","STD","$1,784,000","$659.28","4/2,0,1,0","2706/A","1970/PUB","9,508/0.2183","227/227","Y","Y","","01/15/25","CRMLSM"
"1","SB25014169","S","SFR/D","30022","Via Borica   ","RPV","170","STD","$1,795,000","$643.37","4/1,1,1,0","2790/A","1970/ASR","17,301/0.3972","11/173","Y","N","","03/18/25","CRMLSM"
"1","SB25114665","S","SFR/D","30211","Via Rivera   ","RPV","170","STD","$1,800,000","$820.42","4/3,0,0,0","2194/A","1961/ASR","9,780/0.2245","11/11","Y","N","","07/18/25","CRMLSM"
"1","PV24066908","S","SFR/D","30406","Via Rivera   ","RPV","170","STD","$1,800,000","$628.27","4/1,1,1,0","2865/A","1970/ASR","13,608/0.3124","26/97","Y","Y","2.5%","06/06/24","CRMLSM"
"1","PW23116265","S","SFR/D","30738","Rue De La Pierre   ","RPV","170","STD","$1,875,000","$732.42","5/2,1,1,0","2560/A","1973/ASR","12,993/0.2983","165/165","Y","N","2%","05/21/24","CRMLSM"
"1","SB23204057","S","SFR/D","30735","Rue De La Pierre   ","RPV","170","STD,TRUS","$1,900,000","$892.44","4/2,0,0,0","2129/A","1969/PUB","9,004/0.2067","14/14","Y","N","2.5%","12/08/23","CRMLSM"
"1","PV25130806","S","SFR/D","30715","Rue De La Pierre   ","RPV","170","TRUS","$1,900,000","$730.77","5/3,0,0,0","2600/A","1969/ASR","8,078/0.1854","141/141","Y","N","","12/01/25","CRMLSM"
